Init/Targ,aic_0_targ_lt,aic_0_targ_syscfg,aic_1_targ_lt,aic_1_targ_syscfg,aic_2_targ_lt,aic_2_targ_syscfg,aic_3_targ_lt,aic_3_targ_syscfg,aic_4_targ_lt,aic_4_targ_syscfg,aic_5_targ_lt,aic_5_targ_syscfg,aic_6_targ_lt,aic_6_targ_syscfg,aic_7_targ_lt,aic_7_targ_syscfg,apu_targ_lt,apu_targ_syscfg,dcd_targ_cfg,dcd_targ_syscfg,ddr_wpll_targ_syscfg,l2_0_targ_ht,l2_0_targ_syscfg,l2_1_targ_ht,l2_1_targ_syscfg,l2_2_targ_ht,l2_2_targ_syscfg,l2_3_targ_ht,l2_3_targ_syscfg,l2_4_targ_ht,l2_4_targ_syscfg,l2_5_targ_ht,l2_5_targ_syscfg,l2_6_targ_ht,l2_6_targ_syscfg,l2_7_targ_ht,l2_7_targ_syscfg,lpddr_graph_0_targ_cfg,lpddr_graph_0_targ_ht,lpddr_graph_0_targ_syscfg,lpddr_graph_1_targ_cfg,lpddr_graph_1_targ_ht,lpddr_graph_1_targ_syscfg,lpddr_graph_2_targ_cfg,lpddr_graph_2_targ_ht,lpddr_graph_2_targ_syscfg,lpddr_graph_3_targ_cfg,lpddr_graph_3_targ_ht,lpddr_graph_3_targ_syscfg,lpddr_ppp_0_targ_cfg,lpddr_ppp_0_targ_mt,lpddr_ppp_0_targ_syscfg,lpddr_ppp_1_targ_cfg,lpddr_ppp_1_targ_mt,lpddr_ppp_1_targ_syscfg,lpddr_ppp_2_targ_cfg,lpddr_ppp_2_targ_mt,lpddr_ppp_2_targ_syscfg,lpddr_ppp_3_targ_cfg,lpddr_ppp_3_targ_mt,lpddr_ppp_3_targ_syscfg,pcie_targ_cfg,pcie_targ_cfg_dbi,pcie_targ_mt,pcie_targ_syscfg,pve_0_targ_lt,pve_0_targ_syscfg,pve_1_targ_lt,pve_1_targ_syscfg,sdma_0_targ_lt,sdma_0_targ_syscfg,sdma_1_targ_lt,sdma_1_targ_syscfg,soc_mgmt_targ_lt,soc_mgmt_targ_syscfg,soc_periph_targ_lt,soc_periph_targ_syscfg,sys_spm_targ_lt,sys_spm_targ_syscfg
aic_0_init_ht,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,X,-,X,-,-,-,-,-,X,-
aic_0_init_lt,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
aic_1_init_ht,X,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,X,-,X,-,-,-,-,-,X,-
aic_1_init_lt,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
aic_2_init_ht,X,-,X,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,X,-,X,-,-,-,-,-,X,-
aic_2_init_lt,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
aic_3_init_ht,X,-,X,-,X,-,-,-,X,-,X,-,X,-,X,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,X,-,X,-,-,-,-,-,X,-
aic_3_init_lt,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
aic_4_init_ht,X,-,X,-,X,-,X,-,-,-,X,-,X,-,X,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,X,-,X,-,-,-,-,-,X,-
aic_4_init_lt,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
aic_5_init_ht,X,-,X,-,X,-,X,-,X,-,-,-,X,-,X,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,X,-,X,-,-,-,-,-,X,-
aic_5_init_lt,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
aic_6_init_ht,X,-,X,-,X,-,X,-,X,-,X,-,-,-,X,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,X,-,X,-,-,-,-,-,X,-
aic_6_init_lt,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
aic_7_init_ht,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,X,-,X,-,-,-,-,-,X,-
aic_7_init_lt,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
apu_init_lt,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
apu_init_mt,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
dcd_dec_0_init_mt,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
dcd_dec_1_init_mt,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
dcd_dec_2_init_mt,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
dcd_mcu_init_lt,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
pcie_init_mt,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,X,-,X,X,-,X,X,-,X,X,-,X,X,-,X,X,-,X,X,-,X,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
pve_0_init_ht,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,-,-,X,-,X,-,X,-,-,-,-,-,X,-
pve_0_init_lt,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X
pve_1_init_ht,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,-,-,X,-,X,-,-,-,-,-,X,-
pve_1_init_lt,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X
sdma_0_init_ht_0,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,-,-,-,-,-,-,-,-,X,-
sdma_0_init_ht_1,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,-,-,-,-,-,-,-,-,X,-
sdma_0_init_lt,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,-,-,-,-,X,-,X,-,X,-
sdma_1_init_ht_0,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,-,-,-,-,-,-,-,-,X,-
sdma_1_init_ht_1,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,-,-,-,-,-,-,-,-,X,-
sdma_1_init_lt,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,-,-,-,-,X,-,X,-,X,-
soc_mgmt_init_lt,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X
soc_periph_init_lt,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X
